# Model -> fuel-variant mapping for wholesale data (which has no fuel column).
# fuel_variants = all drivetrains the nameplate sold during 2017-2026 (pipe-separated);
# primary_fuel = the variant believed to dominate its volumes (approximate!);
# ev_only = 1 means every unit is an EV (the only allocation that is exact).
# Compiled from OEM lineups/press releases; quality: approximate. Models absent
# here (~0.2% of volume) get NULL fuel. 'Hybrid' = strong hybrid only.
model,fuel_variants,primary_fuel,ev_only,quality
WAGON-R,Petrol|CNG,Petrol,0,approximate
SWIFT,Petrol|Diesel|CNG,Petrol,0,approximate
DZIRE,Petrol|Diesel|CNG,Petrol,0,approximate
NEXON,Petrol|Diesel|EV,Petrol,0,approximate
CRETA,Petrol|Diesel|EV,Petrol,0,approximate
ERTIGA,Petrol|Diesel|CNG,Petrol,0,approximate
PUNCH,Petrol|CNG|EV,Petrol,0,approximate
VITARA BREZZA,Petrol|Diesel|CNG,Petrol,0,approximate
NEW BALENO,Petrol|CNG,Petrol,0,approximate
BALENO,Petrol|Diesel|CNG,Petrol,0,approximate
SCORPIO,Diesel|Petrol,Diesel,0,approximate
EECO,Petrol|CNG,Petrol,0,approximate
VENUE,Petrol|Diesel,Petrol,0,approximate
FRONX,Petrol|CNG,Petrol,0,approximate
BOLERO,Diesel,Diesel,0,approximate
SONET,Petrol|Diesel,Petrol,0,approximate
SELTOS,Petrol|Diesel,Petrol,0,approximate
GRAND VITARA,Petrol|Hybrid|CNG,Petrol,0,approximate
ALTO K10,Petrol|CNG,Petrol,0,approximate
TIAGO,Petrol|CNG|EV,Petrol,0,approximate
I 10 GRAND,Petrol|Diesel|CNG,Petrol,0,approximate
XUV700,Diesel|Petrol,Diesel,0,approximate
CARENS,Petrol|Diesel,Petrol,0,approximate
I 20,Petrol|Diesel,Petrol,0,approximate
HYRYDER,Petrol|Hybrid|CNG,Petrol,0,approximate
AURA,Petrol|CNG,Petrol,0,approximate
EXTER,Petrol|CNG,Petrol,0,approximate
ALTROZ,Petrol|Diesel|CNG,Petrol,0,approximate
