# Normalized current lifetime-tax benchmark by fuel for a roughly INR 10 lakh car.
# Non-EV fuel rows repeat the same ICE benchmark unless the source distinguished fuel.
state_code,fuel,vehicle_price_basis_inr,lifetime_tax_rate_pct,as_of,method,source,quality
AP,CNG,1000000,14.0,2024,ICE benchmark rate reused; source does not distinguish this fuel,AP Transport Dept / AP EV policy,approximate
AP,Diesel,1000000,14.0,2024,ICE benchmark rate reused; source does not distinguish this fuel,AP Transport Dept / AP EV policy,approximate
AP,EV,1000000,0.0,2024,EV-specific rate from source cross-section,AP Transport Dept / AP EV policy,approximate
AP,Petrol,1000000,14.0,2024,ICE benchmark rate reused; source does not distinguish this fuel,AP Transport Dept / AP EV policy,approximate
AP,Strong Hybrid,1000000,14.0,2024,ICE benchmark rate reused; source does not distinguish this fuel,AP Transport Dept / AP EV policy,approximate
AS,CNG,1000000,7.0,2024,ICE benchmark rate reused; source does not distinguish this fuel,Assam Transport Dept,approximate
AS,Diesel,1000000,7.0,2024,ICE benchmark rate reused; source does not distinguish this fuel,Assam Transport Dept,approximate
AS,EV,1000000,0.0,2024,EV-specific rate from source cross-section,Assam Transport Dept,approximate
AS,Petrol,1000000,7.0,2024,ICE benchmark rate reused; source does not distinguish this fuel,Assam Transport Dept,approximate
AS,Strong Hybrid,1000000,7.0,2024,ICE benchmark rate reused; source does not distinguish this fuel,Assam Transport Dept,approximate
BR,CNG,1000000,9.0,2024,ICE benchmark rate reused; source does not distinguish this fuel,Bihar Transport Dept / Bihar EV policy 2023,approximate
BR,Diesel,1000000,9.0,2024,ICE benchmark rate reused; source does not distinguish this fuel,Bihar Transport Dept / Bihar EV policy 2023,approximate
BR,EV,1000000,0.0,2024,EV-specific rate from source cross-section,Bihar Transport Dept / Bihar EV policy 2023,approximate
BR,Petrol,1000000,9.0,2024,ICE benchmark rate reused; source does not distinguish this fuel,Bihar Transport Dept / Bihar EV policy 2023,approximate
BR,Strong Hybrid,1000000,9.0,2024,ICE benchmark rate reused; source does not distinguish this fuel,Bihar Transport Dept / Bihar EV policy 2023,approximate
CG,CNG,1000000,9.0,2024,ICE benchmark rate reused; source does not distinguish this fuel,CG Transport Dept,approximate
CG,Diesel,1000000,9.0,2024,ICE benchmark rate reused; source does not distinguish this fuel,CG Transport Dept,approximate
CG,EV,1000000,0.0,2024,EV-specific rate from source cross-section,CG Transport Dept,approximate
CG,Petrol,1000000,9.0,2024,ICE benchmark rate reused; source does not distinguish this fuel,CG Transport Dept,approximate
CG,Strong Hybrid,1000000,9.0,2024,ICE benchmark rate reused; source does not distinguish this fuel,CG Transport Dept,approximate
CH,CNG,1000000,8.0,2024,ICE benchmark rate reused; source does not distinguish this fuel,Chandigarh admin / EV policy 2022,approximate
CH,Diesel,1000000,8.0,2024,ICE benchmark rate reused; source does not distinguish this fuel,Chandigarh admin / EV policy 2022,approximate
CH,EV,1000000,0.0,2024,EV-specific rate from source cross-section,Chandigarh admin / EV policy 2022,approximate
CH,Petrol,1000000,8.0,2024,ICE benchmark rate reused; source does not distinguish this fuel,Chandigarh admin / EV policy 2022,approximate
