# Unified curated and Vahan-bundle event timeline; possible_overlap flags collisions.
# Event annotations provide context, not causal identification.
event_id,date,date_end,state_code,category,type,tier,label,detail,source,quality,origin,possible_overlap
bundle:A40,2008-10,2009-06,ALL,shock,shock,3,Global Financial Crisis — India Credit Tightening,"Global Financial Crisis impact on India: credit tightening, export demand collapse. All-segment vehicle demand dip Q4 FY09 through Q2 FY10. Pre-Vahan4 era — data quality note: VAHAN data coverage was less complete before 2012.",RBI FSR 2009; SIAM annual report FY09,reported,vahan_bundle,False
bundle:A17,2010-04,2010-05,ALL,regulation,regulation,2,BS3 Nationwide Rollout — 2W/3W,BS3 emission norms extended to 2-wheelers and 3-wheelers nationwide from April 2010. Front-load spike in March 2010 as dealers cleared BS2 two-wheeler inventory. CNG 3W also affected. Signal mainly in Petrol 2W chart.,MoRTH BS3 notification Oct 2010; SIAM FY10 data,reported,vahan_bundle,False
curated:NEMMP,2013-01,2013-01,ALL,subsidy,subsidy,2,NEMMP 2020 announced,National Electric Mobility Mission Plan target of 6-7M xEV by 2020,MoHI,official,curated_reference,False
bundle:A29,2014-01,2018-12,ALL,product,product,2,Taxi Aggregator Boom — Ola/Uber Scale-up,"Ola (2010) and Uber (2013) scaled aggressively 2014–2016. Commercial cab demand drove CNG and Diesel Motor Cab registrations up multi-fold. Effect strong in AP Tier-2 cities (Vizag, Vijayawada) from 2015. Reversed from 2018 as driver incomes collapsed and aggregator growth slowed.",FADA motor cab data 2014-18; Ola/Uber fleet registration data; SIAM,reported,vahan_bundle,False
bundle:A01,2014-06,2014-06,AP,data_break,data_break,1,AP Bifurcation — Telangana Separation,"Telangana separated from Andhra Pradesh on June 2, 2014. Hyderabad + Rangareddy + Medchal RTOs (accounting for ~45–53% of undivided AP registrations) transferred to Telangana. AP Vahan data shows a structural ~50% step-down from this date. THIS IS NOT A DEMAND EVENT. All YoY comparisons across June 2014 in AP data are invalid.",Andhra Pradesh Reorganisation Act 2014; Vahan RTO count change Jun 2014; FADA AP state data,reported,vahan_bundle,False
curated:DSL_DEREG,2014-10,2014-10,ALL,fuel,fuel,2,Diesel price deregulation,Full market pricing of diesel; narrowed petrol-diesel gap eroded diesel PV share,MoPNG,official,curated_reference,False
bundle:A37,2014-10,2015-03,ALL,policy,policy,3,Diesel Price Full Deregulation,Cabinet fully deregulated diesel prices in October 2014. Diesel price parity with petrol reached by 2015. Diesel's historical 40–60% cost advantage over petrol eroded. Structural context for Diesel's long-term demand decline from 2015 onward — accelerated later by BS6.,MoPNG Oct 2014; PPAC price data FY15,reported,vahan_bundle,False
bundle:A19,2015-04,2015-06,ALL,subsidy,subsidy,2,FAME I Launched — Early EV Stimulation,"FAME I (Faster Adoption of Manufacturing of EVs) launched April 2015 with ₹895 Cr over 4 years. Signal is small in All India aggregate (EV was <0.1% of market) but visible in EV-specific chart as growth baseline. LOW CONFIDENCE annotation — only relevant for EV fuel-type chart, not visible in Petrol/Diesel views.",MHI FAME-I notification Apr 2015; SMEV data FY16; PIB,reported,vahan_bundle,True
curated:FAME1,2015-04,2015-04,ALL,subsidy,subsidy,2,FAME-I begins,Demand incentives for xEVs incl. PV,MoHI,official,curated_reference,True
bundle:A41,2015-04,2016-04,ALL,regulation,regulation,3,Delhi NGT Diesel Ban — Localised Effect,"National Green Tribunal banned diesel vehicles above 2000cc in Delhi-NCR (Dec 2015, extended). Luxury diesel SUV segment in Delhi effectively killed. Effect localised to NCR; minimal in All India aggregate or AP data.",NGT order Dec 2015; Delhi HC; Supreme Court Jan 2016 confirmation,reported,vahan_bundle,False
curated:DIESEL_BAN_NCR,2015-12,2015-12,DL,emission,emission,2,NCR 2000cc+ diesel ban (SC),Supreme Court temporary ban on large diesel PV registrations in NCR (till Aug 2016),Supreme Court,official,curated_reference,False
bundle:A18,2016-04,2016-05,ALL,regulation,regulation,2,BS4 Nationwide — 2W Front-load,BS4 emission norms extended to 2-wheelers nationwide from April 2016. March 2016 shows elevated 2W Petrol registrations (front-load) followed by norm cliff in April 2016. Less severe than 4W transitions due to smaller price differential.,MoRTH BS4 notification; SIAM 2W monthly data Mar-Apr 2016,reported,vahan_bundle,False
bundle:A15,2016-11,2017-01,ALL,shock,shock,2,Demonetisation — 2W & Rural Demand Dip,"PM Modi demonetised ₹500/₹1000 notes on Nov 8, 2016. Impact specific to cash-intensive segments: 2-wheelers (₹50k–80k price, often cash purchases) and rural buyers. 4W car registrations (credit/EMI-financed) showed minimal impact. AP rural areas show stronger signal than metro areas. Q4 FY17 2W Petrol dip ~15% in AP.",GOI notification Nov 8 2016; SIAM Nov-Dec 2016; FADA; RBI currency report,reported,vahan_bundle,True
curated:DEMON,2016-11,2016-11,ALL,shock,shock,2,Demonetisation,Cash crunch hit auto retail H2 FY17,RBI,official,curated_reference,True
bundle:A38,2017-01,2017-12,ALL,data_break,data_break,3,VAHAN 4.0 Platform Migration — Data Quality Event,VAHAN 4.0 platform migration in 2017 may have caused methodology changes in how registrations are counted and attributed. Any anomaly in 2017 data should be cross-referenced against this data quality event before attributing to policy causes. SIAM wholesale data is the preferred cross-check for this period.,MoRTH VAHAN 4.0 launch announcement; NIC; SIAM,reported,vahan_bundle,False
bundle:A04,2017-03,2017-04,ALL,regulation,regulation,1,Supreme Court BS3 Ban — 2-Day Notice,"Supreme Court ordered ban on BS3 vehicle registrations with only 2 days notice (order March 29, effective April 1, 2017). Dealers were left with BS3 inventory they could not register. This creates an OEM-level cliff — particularly visible in Maker-dimension data for OEMs with high BS3 diesel inventory. No demand signal — this is a supply/compliance event.",Supreme Court order Mar 29 2017; SIAM emergency advisory; FADA Apr 2017,reported,vahan_bundle,False
bundle:A05,2017-04,2017-07,ALL,regulation,regulation,1,BS4 Nationwide + GST Composite Window,"Apr–Jul 2017 contains three overlapping events: BS4 national rollout (Apr 1), pre-GST buy rush (June — dealers clearing old inventory), and GST launch disruption (July 1). Registration patterns in this 4-month window reflect simultaneous norm transition and tax reform. Any anomaly in this window may be attributed to either or both. Cannot be cleanly separated.",GST Council Jun 2017; MoRTH BS4 notification; SIAM FADA data Apr-Jul 2017,reported,vahan_bundle,False
curated:BS4,2017-04,2017-04,ALL,emission,emission,2,BS-IV nationwide,Pre-buy and inventory effects around enforcement,MoRTH,official,curated_reference,False
bundle:A16,2017-06,2017-07,ALL,regulation,regulation,2,Pre-GST Buy Rush + GST Launch Disruption,"June 2017: dealers cleared old inventory before GST launch — front-load spike especially in Diesel and large-car segments where GST cess increases were steepest. July 2017: dealers recalibrated invoicing under new GST system, causing 2–3 week paralysis. Composite signal — part of the broader BS4/GST Apr–Jul 2017 window.",SIAM Jun-Jul 2017; GST Council; FADA monthly retail Jul 2017,reported,vahan_bundle,False
curated:GST,2017-07,2017-07,ALL,tax,tax,2,GST rollout,28% + cess on cars replaced VAT/excise; relative price shifts across segments,GST Council,official,curated_reference,False
bundle:A45,2017-07,2017-09,ALL,regulation,regulation,3,GST Cess on Diesel 4W — 50% Effective Rate,GST cess structure: large diesel cars attracted 28% GST + 22% cess = 50% effective rate. This was materially higher than pre-GST incidence. Mid and large diesel SUV segment directly impacted. Reinforces the BS4/GST composite window annotation (A05).,GST Council rate schedule Jul 2017; SIAM GST impact analysis,reported,vahan_bundle,False
bundle:A31,2018-01,2021-12,ALL,policy,policy,2,CNG CGD 9th Round Expansion — National CNG Growth,"PNGRB 9th City Gas Distribution bidding round (2018) awarded CNG distribution rights to 86 new districts. CNG station network expanded from ~1,400 in 2018 to ~5,000+ by 2022. This supply-side infrastructure expansion directly drove CNG vehicle registration growth — more cities made CNG viable for buyers. AP benefitted late (CNG infrastructure lagged national average in AP).",PNGRB CGD rounds data; PPAC CGD expansion report 2021; SIAM CNG data,reported,vahan_bundle,False
bundle:A43,2018-01,2018-12,ALL,product,product,3,Ola/Uber Driver Income Collapse — Cab Demand Cliff,"Aggregator driver incomes collapsed 2018 as Ola/Uber cut incentives. New driver-partner registrations slowed significantly. Motor Cab (CNG and Diesel) demand dipped after the 2014–2017 surge. Effect visible in Motor Cab class registrations in AP Tier-2 cities (Vizag, Vijayawada).",IDC driver survey 2018; FADA Motor Cab class data; SIAM,reported,vahan_bundle,False
